Country Name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
 Norway ,"4,431,464","4,461,913","4,490,967","4,513,751","4,538,159","4,564,855","4,591,910","4,623,291","4,660,677","4,709,153","4,768,212","4,828,726","4,889,252","4,953,088","5,018,573"
 Poland ,"38,663,481","38,660,271","38,258,629","38,248,076","38,230,364","38,204,570","38,182,222","38,165,445","38,141,267","38,120,560","38,125,759","38,151,603","38,042,794","38,063,255","38,063,164"
 Portugal ,"10,160,196","10,217,828","10,289,898","10,362,722","10,419,631","10,458,821","10,483,861","10,503,330","10,522,288","10,542,964","10,558,177","10,568,247","10,573,100","10,557,560","10,514,844"
 Slovak Republic ,"5,390,516","5,396,020","5,388,720","5,378,867","5,376,912","5,373,374","5,372,280","5,372,807","5,373,054","5,374,622","5,379,233","5,386,406","5,391,428","5,398,384","5,407,579"
 Slovenia ,"1,981,629","1,983,045","1,988,925","1,992,060","1,994,530","1,995,733","1,997,012","2,000,474","2,006,868","2,018,122","2,021,316","2,039,669","2,048,583","2,052,843","2,057,159"
 South Africa ,"45,852,166","46,364,681","46,813,266","47,229,714","47,661,514","48,104,048","48,556,071","49,017,147","49,491,756","49,996,094","50,565,812","51,170,779","51,784,921","52,443,325","53,145,033"
 Spain ,"40,223,509","40,386,875","40,567,864","40,850,412","41,431,558","42,187,645","42,921,895","43,653,155","44,397,319","45,226,803","45,954,106","46,362,946","46,576,897","46,742,697","46,773,055"
 Sweden ,"8,850,974","8,857,874","8,872,109","8,895,960","8,924,958","8,958,229","8,993,531","9,029,572","9,080,505","9,148,092","9,219,637","9,298,515","9,378,126","9,449,213","9,519,374"
 Switzerland ,"7,110,001","7,143,991","7,184,250","7,229,854","7,284,753","7,339,001","7,389,625","7,437,115","7,483,934","7,551,117","7,647,675","7,743,831","7,824,909","7,912,398","7,996,861"
 Türkiye ,"62,242,204","63,185,615","64,113,547","65,072,018","65,988,663","66,867,327","67,785,075","68,704,715","69,601,333","70,158,112","71,051,678","72,039,206","73,142,150","74,223,629","75,175,827"
 United Kingdom ,"58,487,141","58,682,466","58,892,514","59,119,673","59,370,479","59,647,577","59,987,905","60,401,206","60,846,820","61,322,463","61,806,995","62,276,270","62,766,365","63,258,810","63,700,215"
 United States ,"275,854,000","279,040,000","282,162,411","284,968,955","287,625,193","290,107,933","292,805,298","295,516,599","298,379,912","301,231,207","304,093,966","306,771,529","309,327,143","311,583,481","313,877,662"
